method_id,root_id,condition_id,condition_family,primary_recovery_axis,window_index,window_start,window_end,nominal_value,disturbed_value,directed_gap,within_tolerance
dqn,t527-final-r05,action-failure-0.15,action-failure,False,1,33,64,-0.04843750000000002,-0.06796875000000002,0.01953125,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,2,65,96,-0.07031250000000003,-0.05078125000000002,-0.019531250000000007,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,3,97,128,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,4,129,160,-0.06562500000000002,-0.06796875000000002,0.0023437500000000056,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,5,161,192,-0.04843750000000002,-0.06796875000000002,0.01953125,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,6,193,224,-0.07031250000000003,-0.06562500000000002,-0.004687500000000011,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,7,225,256,-0.05546875000000003,-0.06562500000000002,0.010156249999999985,True
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.06562500000000002,-0.21015624999999996,0.14453124999999994,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.04843750000000002,-0.203125,0.15468749999999998,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.07031250000000003,-0.2359375,0.16562499999999997,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.04843750000000002,-0.21249999999999997,0.16406249999999994,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,4,129,160,-0.06562500000000002,-0.2124999999999999,0.1468749999999999,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.04843750000000002,-0.2265625,0.17812499999999998,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,6,193,224,-0.07031250000000003,-0.20546874999999998,0.13515624999999995,False
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,7,225,256,-0.05546875000000003,-0.17500000000000004,0.11953125,False
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,0,1,32,-0.06562500000000002,-0.13281249999999997,0.06718749999999996,True
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,1,33,64,-0.04843750000000002,-0.15624999999999997,0.10781249999999995,False
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,2,65,96,-0.07031250000000003,-0.15624999999999994,0.08593749999999992,True
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,3,97,128,-0.04843750000000002,-0.165625,0.11718749999999997,False
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,4,129,160,-0.06562500000000002,-0.14687499999999998,0.08124999999999996,True
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,5,161,192,-0.04843750000000002,-0.16796875000000003,0.11953125,False
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,6,193,224,-0.07031250000000003,-0.11171875000000006,0.04140625000000003,True
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,7,225,256,-0.05546875000000003,-0.15156250000000002,0.09609374999999998,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.06562500000000002,-0.06796875000000002,0.0023437500000000056,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,1,33,64,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,2,65,96,-0.07031250000000003,-0.05312500000000002,-0.01718750000000001,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,4,129,160,-0.06562500000000002,-0.05312500000000002,-0.012499999999999997,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.04843750000000002,-0.06562500000000004,0.017187500000000022,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.07031250000000003,-0.06562500000000002,-0.004687500000000011,True
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.05546875000000003,-0.05312500000000002,-0.0023437500000000125,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,0,1,32,-0.06796875000000002,-0.08281250000000004,0.014843750000000017,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,1,33,64,-0.05312500000000002,-0.07265625000000002,0.01953125,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,2,65,96,-0.04843750000000002,-0.04843750000000002,0.0,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,3,97,128,-0.06796875000000002,-0.06796875000000002,0.0,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,4,129,160,-0.06562500000000002,-0.06796875000000004,0.0023437500000000194,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,5,161,192,-0.048437500000000015,-0.06562500000000002,0.0171875,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,6,193,224,-0.04843750000000002,-0.06796875000000002,0.01953125,True
dqn,t527-final-r06,action-failure-0.15,action-failure,False,7,225,256,-0.06562500000000002,-0.04843750000000002,-0.017187499999999994,True
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.06796875000000002,-0.2265625,0.15859374999999998,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.05312500000000002,-0.2078124999999999,0.15468749999999987,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.04843750000000002,-0.19140625,0.14296874999999998,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.06796875000000002,-0.20781249999999996,0.13984374999999993,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,4,129,160,-0.06562500000000002,-0.21250000000000002,0.146875,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.048437500000000015,-0.18671875000000002,0.13828125,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,6,193,224,-0.04843750000000002,-0.19374999999999998,0.14531249999999996,False
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,7,225,256,-0.06562500000000002,-0.18671874999999996,0.12109374999999994,False
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,0,1,32,-0.06796875000000002,-0.19609375,0.128125,False
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,1,33,64,-0.05312500000000002,-0.1796874999999999,0.12656249999999986,False
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,2,65,96,-0.04843750000000002,-0.11406250000000004,0.06562500000000002,True
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,3,97,128,-0.06796875000000002,-0.12578125000000004,0.05781250000000002,True
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,4,129,160,-0.06562500000000002,-0.16093750000000004,0.09531250000000002,True
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,5,161,192,-0.048437500000000015,-0.184375,0.1359375,False
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,6,193,224,-0.04843750000000002,-0.11640625000000004,0.06796875000000002,True
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,7,225,256,-0.06562500000000002,-0.14218750000000002,0.0765625,True
