method_id,root_id,condition_id,planned_layout_count,observed_layout_count,missing_layout_ids,complete_layout_block,included_in_primary_summary,frozen_loss,adaptive_loss,adaptation_benefit
ppo,t527-final-r01,action-remap-swap-right-down,2,2,[],True,True,43.87499999999997,43.87499999999997,0.0
ppo,t527-final-r01,observation-corruption-0.05,2,2,[],True,True,0.5249999999999986,0.5999999999999979,-0.07499999999999929
ppo,t527-final-r02,action-failure-0.15,2,2,[],True,True,0.0,0.0,0.0
ppo,t527-final-r02,action-remap-cycle-clockwise,2,2,[],True,True,36.29999999999991,34.49999999999993,1.799999999999983
ppo,t527-final-r02,action-remap-swap-right-down,2,2,[],True,True,21.524999999999963,20.474999999999973,1.04999999999999
ppo,t527-final-r02,observation-corruption-0.05,2,2,[],True,True,0.30000000000000426,0.2250000000000032,0.07500000000000107
ppo,t527-final-r03,action-failure-0.15,2,2,[],True,True,3.2249999999999615,3.2249999999999615,0.0
ppo,t527-final-r03,action-remap-cycle-clockwise,2,2,[],True,True,59.025,59.025,0.0
ppo,t527-final-r03,action-remap-swap-right-down,2,2,[],True,True,57.675,57.675,0.0
ppo,t527-final-r03,observation-corruption-0.05,2,2,[],True,True,4.074999999999958,4.074999999999958,0.0
ppo,t527-final-r04,action-failure-0.15,2,2,[],True,True,3.299999999999967,3.299999999999967,0.0
ppo,t527-final-r04,action-remap-cycle-clockwise,2,2,[],True,True,59.55,59.1,0.44999999999999574
ppo,t527-final-r04,action-remap-swap-right-down,2,2,[],True,True,57.97500000000001,57.97500000000001,0.0
ppo,t527-final-r04,observation-corruption-0.05,2,2,[],True,True,0.7000000000000011,0.7000000000000011,0.0
ppo,t527-final-r05,action-failure-0.15,2,2,[],True,True,0.0,0.0,0.0
ppo,t527-final-r05,action-remap-cycle-clockwise,2,2,[],True,True,26.774999999999974,23.100000000000005,3.6749999999999687
ppo,t527-final-r05,action-remap-swap-right-down,2,2,[],True,True,24.00000000000001,22.425000000000026,1.574999999999985
ppo,t527-final-r05,observation-corruption-0.05,2,2,[],True,True,0.5250000000000057,0.5250000000000057,0.0
ppo,t527-final-r06,action-failure-0.15,2,2,[],True,True,6.150000000000024,10.049999999999997,-3.8999999999999737
ppo,t527-final-r06,action-remap-cycle-clockwise,2,2,[],True,True,53.55000000000001,58.05000000000001,-4.5
ppo,t527-final-r06,action-remap-swap-right-down,2,2,[],True,True,52.275000000000006,56.775000000000006,-4.5
